Air Force One (1997);Action|Thriller;president
187 (One Eight Seven) (1997);Drama|Thriller;NoTags
Hunt for Red October, The (1990);Action|Adventure|Thriller;Tom Clancy
My Own Private Idaho (1991);Drama|Romance;NoTags
Kiss Me, Guido (1997);Comedy;NoTags
Star Maps (1997);Drama;NoTags
In & Out (1997);Comedy;NoTags
Edge, The (1997);Adventure|Drama;NoTags
Peacemaker, The (1997);Action|Thriller|War;NoTags
L.A. Confidential (1997);Crime|Film-Noir|Mystery|Thriller;Police
Seven Years in Tibet (1997);Adventure|Drama|War;NoTags
Kiss the Girls (1997);Crime|Drama|Mystery|Thriller;NoTags
Soul Food (1997);Drama;NoTags
Wishmaster (1997);Horror;NoTags
Thousand Acres, A (1997);Drama;NoTags
Game, The (1997);Drama|Mystery|Thriller;mindfuck|Mystery|plot twist|psychological|suspense|twist ending|twist ending|Mystery
Fire Down Below (1997);Action|Drama|Thriller;NoTags
U Turn (1997);Crime|Drama|Mystery;NoTags
MatchMaker, The (1997);Comedy|Romance;NoTags
Assignment, The (1997);Action|Thriller;NoTags
Ulee's Gold (1997);Drama;NoTags
Ice Storm, The (1997);Drama;1970s
Chasing Amy (1997);Comedy|Drama|Romance;NoTags
Full Monty, The (1997);Comedy|Drama;NoTags
Indian Summer (a.k.a. Alive & Kicking) (1996);Comedy|Drama;NoTags
Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997);Drama|Romance;England|Queen Victoria
I Know What You Did Last Summer (1997);Horror|Mystery|Thriller;NoTags
The Devil's Advocate (1997);Drama|Mystery|Thriller;lawyers
RocketMan (a.k.a. Rocket Man) (1997);Children|Comedy|Romance|Sci-Fi;NoTags
Playing God (1997);Crime|Drama|Thriller;NoTags
House of Yes, The (1997);Comedy|Drama;NoTags
Fast, Cheap & Out of Control (1997);Documentary;NoTags
Washington Square (1997);Drama;Henry James
Year of the Horse (1997);Documentary;NoTags
Gattaca (1997);Drama|Sci-Fi|Thriller;future|intelligent|thought-provoking
FairyTale: A True Story (1997);Children|Drama|Fantasy;NoTags
Phantoms (1998);Drama|Horror|Thriller;NoTags
Swept from the Sea (1997);Drama|Romance;NoTags
Life Less Ordinary, A (1997);Romance|Thriller;NoTags
Hurricane Streets (1997);Drama;NoTags
Eve's Bayou (1997);Drama;NoTags
Switchback (1997);Crime|Mystery|Thriller;NoTags
Gang Related (1997);Crime;NoTags
Stripes (1981);Comedy|War;military
Bean (1997);Comedy;NoTags
Mad City (1997);Action|Drama;NoTags
Welcome to Sarajevo (1997);Drama|War;NoTags
Deceiver (1997);Crime|Drama|Thriller;NoTags
Rainmaker, The (1997);Drama;In Netflix queue
Boogie Nights (1997);Drama;NoTags
Witness (1985);Drama|Romance|Thriller;Amish
Incognito (1997);Crime|Thriller;NoTags
Starship Troopers (1997);Action|Sci-Fi;NoTags
Critical Care (1997);Comedy|Drama;NoTags
Joy Luck Club, The (1993);Drama|Romance;NoTags
Chairman of the Board (1998);Comedy;NoTags
Sliding Doors (1998);Drama|Romance;alternate universe
Mortal Kombat: Annihilation (1997);Action|Adventure|Fantasy;NoTags
Truman Show, The (1998);Comedy|Drama|Sci-Fi;TV
Wings of the Dove, The (1997);Drama|Romance;Henry James
Mrs. Dalloway (1997);Drama|Romance;NoTags
I Love You, I Love You Not (1996);Drama|Romance;NoTags
Red Corner (1997);Crime|Thriller;NoTags
Jackal, The (1997);Action|Thriller;NoTags
Anastasia (1997);Adventure|Animation|Children|Drama|Musical;NoTags
Man Who Knew Too Little, The (1997);Comedy|Crime|Thriller;NoTags
Alien: Resurrection (1997);Action|Horror|Sci-Fi;NoTags
Amistad (1997);Drama|Mystery;NoTags
Apostle, The (1997);Drama;NoTags
Artemisia (1997);Drama;NoTags
Bent (1997);Drama|War;NoTags
Butcher Boy, The (1997);Comedy|Drama;NoTags
Deconstructing Harry (1997);Comedy|Drama;NoTags
Flubber (1997);Children|Comedy|Fantasy;NoTags
For Richer or Poorer (1997);Comedy;NoTags
Good Will Hunting (1997);Drama|Romance;inspirational|heartwarming|inspirational
Home Alone 3 (1997);Children|Comedy;NoTags
Midnight in the Garden of Good and Evil (1997);Crime|Drama|Mystery;Savannah
Mouse Hunt (1997);Children|Comedy;NoTags
Scream 2 (1997);Comedy|Horror|Mystery|Thriller;sequel|slasher|spoof
Stranger in the House (1997);Thriller;NoTags
Sweet Hereafter, The (1997);Drama;Canada|death
Titanic (1997);Drama|Romance;shipwreck|romance
Tomorrow Never Dies (1997);Action|Adventure|Thriller;NoTags
Postman, The (1997);Action|Adventure|Drama|Sci-Fi;Kevin Costner|Post apocalyptic
Horse Whisperer, The (1998);Drama|Romance;NoTags
Jackie Brown (1997);Crime|Drama|Thriller;NoTags
Kundun (1997);Drama;NoTags
Mr. Magoo (1997);Comedy;NoTags
Big Lebowski, The (1998);Comedy|Crime;Coen Brothers|black comedy|bowling|classic|coen brothers|comedy|crime|Cult classic|cult film|dark comedy|deadpan|drugs|funny|great dialogue|great soundtrack|Highly quotable|imdb top 250|Jeff Bridges|John Goodman|Julianne Moore|kidnapping|marijuana|Nudity (Full Frontal)|off-beat comedy|Philip Seymour Hoffman|quirky|ransom|rug|sarcasm|satirical|Steve Buscemi|violence
Afterglow (1997);Drama|Romance;NoTags
My Life in Pink (Ma vie en rose) (1997);Comedy|Drama;NoTags
Great Expectations (1998);Drama|Romance;Charles Dickens
3 Ninjas: High Noon On Mega Mountain (1998);Action|Children|Comedy;NoTags
Senseless (1998);Comedy;NoTags
Wag the Dog (1997);Comedy;NoTags
Dark City (1998);Adventure|Film-Noir|Sci-Fi|Thriller;amnesia
Hard Rain (1998);Action|Crime|Thriller;NoTags
Half Baked (1998);Comedy;NoTags
Fallen (1998);Crime|Drama|Fantasy|Thriller;NoTags
Shooting Fish (1997);Comedy|Romance;NoTags
Fallen Angels (Duo luo tian shi) (1995);Drama|Romance;NoTags
Four Days in September (O Que É Isso, Companheiro?) (1997);Drama;NoTags
Spice World (1997);Comedy;NoTags
Deep Rising (1998);Action|Horror|Sci-Fi;NoTags
Music From Another Room (1998);Drama|Romance;NoTags
Replacement Killers, The (1998);Action|Crime|Thriller;NoTags
B. Monkey (1998);Crime|Romance|Thriller;NoTags
Night Flier (1997);Horror;NoTags
Blues Brothers 2000 (1998);Action|Comedy|Musical;NoTags
Wedding Singer, The (1998);Comedy|Romance;1980s
Sphere (1998);Sci-Fi|Thriller;good
Palmetto (1998);Crime|Drama|Mystery|Romance|Thriller;NoTags
As Good as It Gets (1997);Comedy|Drama|Romance;NoTags
King of New York (1990);Crime|Thriller;NoTags
Twilight (1998);Crime|Drama|Thriller;NoTags
U.S. Marshals (1998);Action|Crime|Thriller;NoTags
Welcome to Woop-Woop (1997);Comedy;NoTags
Love and Death on Long Island (1997);Comedy|Drama;NoTags
Everest (1998);Documentary|IMAX;In Netflix queue
Hush (1998);Thriller;NoTags
Suicide Kings (1997);Comedy|Crime|Drama|Mystery|Thriller;NoTags
Man in the Iron Mask, The (1998);Action|Adventure|Drama;seen more than once
Newton Boys, The (1998);Crime|Drama;NoTags
Wild Things (1998);Crime|Drama|Mystery|Thriller;NoTags
Paulie (1998);Adventure|Children|Comedy;NoTags
Cool, Dry Place, A (1998);Drama;NoTags
Fireworks (Hana-bi) (1997);Crime|Drama;NoTags
Primary Colors (1998);Comedy|Drama;politics
Wide Awake (1998);Children|Comedy|Drama;NoTags
Two Girls and a Guy (1997);Comedy|Drama;NoTags
Object of My Affection, The (1998);Comedy|Romance;NoTags
Homegrown (1998);Comedy|Thriller;NoTags
The Players Club (1998);Comedy|Drama;NoTags
Barney's Great Adventure (1998);Adventure|Children;NoTags
Big One, The (1997);Comedy|Documentary;NoTags
Chinese Box (1997);Drama|Romance;NoTags
Lost in Space (1998);Action|Adventure|Sci-Fi;NoTags
Mercury Rising (1998);Action|Drama|Thriller;NoTags
Spanish Prisoner, The (1997);Crime|Drama|Mystery|Thriller;twist ending
City of Angels (1998);Drama|Fantasy|Romance;NoTags
Last Days of Disco, The (1998);Comedy|Drama;No DVD at Netflix
Odd Couple II, The (1998);Comedy;NoTags
My Giant (1998);Comedy;NoTags
He Got Game (1998);Drama;NoTags
Gingerbread Man, The (1998);Drama|Thriller;NoTags
Live Flesh (Carne trémula) (1997);Drama|Romance;NoTags
Zero Effect (1998);Comedy|Mystery|Thriller;NoTags
Borrowers, The (1997);Adventure|Children|Comedy|Fantasy;NoTags
Krippendorf's Tribe (1998);Comedy;NoTags
Kurt & Courtney (1998);Documentary;NoTags
Real Blonde, The (1997);Comedy;NoTags
Mr. Nice Guy (Yat goh ho yan) (1997);Action|Comedy;NoTags
Taste of Cherry (Ta'm e guilass) (1997);Drama;NoTags
Character (Karakter) (1997);Drama;NoTags
Species II (1998);Horror|Sci-Fi;NoTags
Major League: Back to the Minors (1998);Comedy;NoTags
Big Hit, The (1998);Action|Comedy|Crime;NoTags
Tarzan and the Lost City (1998);Action|Adventure;NoTags
Dancer, Texas Pop. 81 (1998);Comedy|Drama;NoTags
Misérables, Les (1998);Crime|Drama|Romance|War;NoTags
Clockwatchers (1997);Comedy;NoTags
Deep Impact (1998);Drama|Sci-Fi|Thriller;NoTags
Quest for Camelot (1998);Adventure|Animation|Children|Fantasy|Musical;NoTags
Godzilla (1998);Action|Sci-Fi|Thriller;NoTags
Bulworth (1998);Comedy|Drama|Romance;NoTags
Fear and Loathing in Las Vegas (1998);Adventure|Comedy|Drama;NoTags
Opposite of Sex, The (1998);Comedy|Drama|Romance;NoTags
Almost Heroes (1998);Adventure|Comedy|Western;NoTags
Hope Floats (1998);Comedy|Drama|Romance;NoTags
Insomnia (1997);Drama|Mystery|Thriller;NoTags
Ugly, The (1997);Horror|Thriller;NoTags
Perfect Murder, A (1998);Thriller;NoTags
Beyond Silence (Jenseits der Stille) (1996);Drama;In Netflix queue
Six Days Seven Nights (1998);Adventure|Comedy|Romance;NoTags
Can't Hardly Wait (1998);Comedy|Drama|Romance;NoTags
High Art (1998);Drama|Romance;NoTags
Children of Heaven, The (Bacheha-Ye Aseman) (1997);Comedy|Drama;In Netflix queue
Dream for an Insomniac (1996);Drama|Romance;generation X
Henry Fool (1997);Comedy|Drama;NoTags
Mr. Jealousy (1997);Comedy|Romance;NoTags
Mulan (1998);Adventure|Animation|Children|Comedy|Drama|Musical|Romance;NoTags
X-Files: Fight the Future, The (1998);Action|Crime|Mystery|Sci-Fi|Thriller;conspiracy
I Went Down (1997);Comedy|Crime|Drama;NoTags
Dr. Dolittle (1998);Comedy;NoTags
Out of Sight (1998);Comedy|Crime|Drama|Romance|Thriller;heist
Picnic at Hanging Rock (1975);Drama|Mystery;Australia
Smoke Signals (1998);Comedy|Drama;NoTags
Buffalo '66 (a.k.a. Buffalo 66) (1998);Drama|Romance;avant-garde romantic comedy|elegiac|melancholy|quirky|wry
Armageddon (1998);Action|Romance|Sci-Fi|Thriller;space
Lethal Weapon 4 (1998);Action|Comedy|Crime|Thriller;NoTags
Madeline (1998);Children|Comedy;NoTags
Small Soldiers (1998);Animation|Children|Fantasy|War;NoTags
Pi (1998);Drama|Sci-Fi|Thriller;hallucinatory|mental illness|mindfuck|paranoid|mathematics|artsy|atmospheric|cerebral|enigmatic|existentialism|hallucinatory|insanity|paranoia|paranoid|surreal|tense|visually appealing
Whatever (1998);Drama;NoTags
There's Something About Mary (1998);Comedy|Romance;Ben Stiller|Ben Stiller|crude humor|goofy
Plan 9 from Outer Space (1959);Horror|Sci-Fi;NoTags
Broadway Melody, The (1929);Musical;NoTags
All Quiet on the Western Front (1930);Action|Drama|War;NoTags
Cimarron (1931);Drama|Western;NoTags
Grand Hotel (1932);Drama|Romance;NoTags
Mutiny on the Bounty (1935);Adventure|Drama;ships
Great Ziegfeld, The (1936);Drama|Musical;NoTags
Life of Emile Zola, The (1937);Drama;NoTags
You Can't Take It with You (1938);Comedy|Romance;NoTags
Mrs. Miniver (1942);Drama|War;NoTags
Going My Way (1944);Comedy|Drama|Musical;NoTags
Lost Weekend, The (1945);Drama;alcoholism
Best Years of Our Lives, The (1946);Drama|War;NoTags
Gentleman's Agreement (1947);Drama;anti-Semitism|Judaism
Hamlet (1948);Drama;NoTags
All the King's Men (1949);Drama;Huey Long|In Netflix queue|Robert Penn Warren
From Here to Eternity (1953);Drama|Romance|War;NoTags
On the Waterfront (1954);Crime|Drama;boxing|coulda been a contender
Marty (1955);Drama|Romance;NoTags
West Side Story (1961);Drama|Musical|Romance;Gangs
Tom Jones (1963);Adventure|Comedy|Romance;British
Man for All Seasons, A (1966);Drama;NoTags
In the Heat of the Night (1967);Drama|Mystery;racism
Oliver! (1968);Drama|Musical;Dickens
Midnight Cowboy (1969);Drama;prostitution
French Connection, The (1971);Action|Crime|Thriller;drugs|police
Rocky (1976);Drama;boxing|sports
Kramer vs. Kramer (1979);Drama;divorce
Ordinary People (1980);Drama;NoTags
Chariots of Fire (1981);Drama;Olympics|sports
Terms of Endearment (1983);Comedy|Drama;NoTags
Out of Africa (1985);Drama|Romance;adultery|Africa
Last Emperor, The (1987);Drama;China
Rain Man (1988);Drama;autism
Driving Miss Daisy (1989);Drama;rasicm
Take the Money and Run (1969);Comedy|Crime;NoTags
Klute (1971);Drama|Mystery;NoTags
Repo Man (1984);Comedy|Sci-Fi;NoTags
Metropolitan (1990);Comedy;NoTags
Labyrinth (1986);Adventure|Fantasy|Musical;NoTags
Breakfast Club, The (1985);Comedy|Drama;NoTags
Nightmare on Elm Street 2: Freddy's Revenge, A (1985);Horror;NoTags
Nightmare on Elm Street 3: Dream Warriors, A (1987);Horror|Thriller;NoTags
Nightmare on Elm Street 4: The Dream Master, A (1988);Horror|Thriller;NoTags
Nightmare on Elm Street 5: The Dream Child, A (1989);Horror;NoTags
Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991);Horror;NoTags
Friday the 13th (1980);Horror|Mystery|Thriller;NoTags
Friday the 13th Part 2 (1981);Horror;Jason
Friday the 13th Part 3: 3D (1982);Horror;Jason
Friday the 13th Part IV: The Final Chapter (1984);Horror;Jason
Friday the 13th Part V: A New Beginning (1985);Horror;Jason
Friday the 13th Part VI: Jason Lives (1986);Horror;Jason
Friday the 13th Part VII: The New Blood (1988);Horror;NoTags
Friday the 13th Part VIII: Jason Takes Manhattan (1989);Horror;NoTags
Halloween (1978);Horror;NoTags
Halloween II (1981);Horror;halloween
Halloween III: Season of the Witch (1982);Horror;halloween
Halloween 4: The Return of Michael Myers (1988);Horror;NoTags
Halloween 5: The Revenge of Michael Myers (1989);Horror;NoTags
Prom Night (1980);Horror;NoTags
Prom Night IV: Deliver Us From Evil (1992);Horror;NoTags
Child's Play (1988);Horror|Thriller;NoTags
Child's Play 2 (1990);Horror|Thriller;NoTags
Child's Play 3 (1991);Comedy|Horror|Thriller;NoTags
Poltergeist (1982);Horror|Thriller;ghosts
Poltergeist II: The Other Side (1986);Horror|Thriller;ghosts
Poltergeist III (1988);Horror|Thriller;ghosts
Exorcist, The (1973);Horror|Mystery;demons
Exorcist II: The Heretic (1977);Horror;NoTags
Exorcist III, The (1990);Horror;NoTags
Lethal Weapon (1987);Action|Comedy|Crime|Drama;NoTags
Lethal Weapon 2 (1989);Action|Comedy|Crime|Drama;NoTags
Lethal Weapon 3 (1992);Action|Comedy|Crime|Drama;NoTags
Gremlins (1984);Comedy|Horror;NoTags
Gremlins 2: The New Batch (1990);Comedy|Horror;NoTags
Goonies, The (1985);Action|Adventure|Children|Comedy|Fantasy;NoTags
Mask of Zorro, The (1998);Action|Comedy|Romance;California|Mexico
Polish Wedding (1998);Comedy;NoTags
This World, Then the Fireworks (1997);Crime|Drama|Film-Noir;NoTags
Soylent Green (1973);Drama|Mystery|Sci-Fi|Thriller;NoTags
Metropolis (1927);Drama|Sci-Fi;NoTags
Back to the Future Part II (1989);Adventure|Comedy|Sci-Fi;time travel
Back to the Future Part III (1990);Adventure|Comedy|Sci-Fi|Western;NoTags
Poseidon Adventure, The (1972);Action|Adventure|Drama;NoTags
Freaky Friday (1977);Children|Comedy|Fantasy;NoTags
Absent-Minded Professor, The (1961);Children|Comedy|Fantasy;NoTags
Apple Dumpling Gang Rides Again, The (1979);Children|Comedy|Western;NoTags
Babes in Toyland (1961);Children|Fantasy|Musical;NoTags
Bambi (1942);Animation|Children|Drama;NoTags
Seven Samurai (Shichinin no samurai) (1954);Action|Adventure|Drama;samurai
Dangerous Liaisons (1988);Drama|Romance;adultery
Dune (1984);Adventure|Sci-Fi;NoTags
Last Temptation of Christ, The (1988);Drama;Bible|Katzanzakis
Godfather: Part III, The (1990);Crime|Drama|Mystery|Thriller;Al Pacino|Andy Garcia|Classic|Francis Ford Coppola|mafia
Rapture, The (1991);Drama|Mystery;NoTags
Lolita (1997);Drama|Romance;NoTags
Disturbing Behavior (1998);Horror|Thriller;NoTags
Jane Austen's Mafia! (1998);Comedy|Crime;NoTags
Saving Private Ryan (1998);Action|Drama|War;World War II
Barefoot Executive, The (1971);Children|Comedy;NoTags
Black Cauldron, The (1985);Adventure|Animation|Children|Fantasy;NoTags
Black Hole, The (1979);Children|Sci-Fi;NoTags
Blackbeard's Ghost (1968);Children|Comedy;NoTags
Blank Check (1994);Children|Comedy;NoTags
Candleshoe (1977);Adventure|Children|Comedy;NoTags
Cat from Outer Space, The (1978);Children|Comedy|Sci-Fi;NoTags
Computer Wore Tennis Shoes, The (1969);Children|Comedy;NoTags
Condorman (1981);Action|Adventure|Children|Comedy;NoTags
D2: The Mighty Ducks (1994);Children|Comedy;NoTags
Darby O'Gill and the Little People (1959);Adventure|Children|Fantasy;NoTags
Devil and Max Devlin, The (1981);Comedy|Fantasy;NoTags
Flight of the Navigator (1986);Adventure|Children|Sci-Fi;NoTags
Great Mouse Detective, The (1986);Action|Animation|Children|Crime;NoTags
Herbie Goes Bananas (1980);Adventure|Children|Comedy;NoTags
Herbie Goes to Monte Carlo (1977);Adventure|Children|Comedy;NoTags
Hocus Pocus (1993);Children|Comedy|Fantasy|Horror;NoTags
Honey, I Blew Up the Kid (1992);Children|Comedy|Sci-Fi;NoTags
Honey, I Shrunk the Kids (1989);Adventure|Children|Comedy|Fantasy|Sci-Fi;Disney
Hot Lead and Cold Feet (1978);Action|Comedy|Western;NoTags
In Search of the Castaways (1962);Adventure|Children;NoTags
Incredible Journey, The (1963);Adventure|Children;NoTags
Negotiator, The (1998);Action|Crime|Drama|Mystery|Thriller;police
Parent Trap, The (1998);Children|Comedy|Romance;twins
BASEketball (1998);Comedy;NoTags
Roger & Me (1989);Documentary;General Motors|Michigan
Purple Rose of Cairo, The (1985);Comedy|Drama|Fantasy|Romance;In Netflix queue
Out of the Past (1947);Film-Noir;memory
Doctor Zhivago (1965);Drama|Romance|War;NoTags
Fanny and Alexander (Fanny och Alexander) (1982);Drama|Fantasy|Mystery;NoTags
Trip to Bountiful, The (1985);Drama;NoTags
Tender Mercies (1983);Drama|Romance|Western;music
And the Band Played On (1993);Drama;AIDs|In Netflix queue
'burbs, The (1989);Comedy;NoTags
Fandango (1985);Comedy;NoTags
Night Porter, The (Portiere di notte, Il) (1974);Crime|Drama|Romance;NoTags
Mephisto (1981);Drama|War;NoTags
Blue Velvet (1986);Drama|Mystery|Thriller;sexuality|suburbia
Journey of Natty Gann, The (1985);Adventure|Children;NoTags
Jungle Book, The (1967);Animation|Children|Comedy|Musical;Disney
Lady and the Tramp (1955);Animation|Children|Comedy|Romance;Disney
Little Mermaid, The (1989);Animation|Children|Comedy|Musical|Romance;NoTags
Mighty Ducks, The (1992);Children|Comedy;NoTags
Muppet Christmas Carol, The (1992);Children|Comedy|Musical;NoTags
Newsies (1992);Children|Musical;NoTags
101 Dalmatians (One Hundred and One Dalmatians) (1961);Adventure|Animation|Children;Disney
Peter Pan (1953);Animation|Children|Fantasy|Musical;NoTags
Popeye (1980);Adventure|Comedy|Musical;NoTags
Rescuers Down Under, The (1990);Adventure|Animation|Children;NoTags
Rescuers, The (1977);Adventure|Animation|Children|Crime|Drama;NoTags
Return from Witch Mountain (1978);Children|Sci-Fi;NoTags
Return of Jafar, The (1994);Adventure|Animation|Children|Fantasy|Musical|Romance;NoTags
Return to Oz (1985);Adventure|Children|Fantasy;NoTags
Rocketeer, The (1991);Action|Adventure|Sci-Fi;NoTags
Shaggy D.A., The (1976);Children|Comedy;NoTags
Sleeping Beauty (1959);Animation|Children|Musical;NoTags
Something Wicked This Way Comes (1983);Children|Drama|Fantasy|Mystery|Thriller;carnival|Ray Bradbury
Son of Flubber (1963);Children|Comedy;NoTags
Song of the South (1946);Adventure|Animation|Children|Musical;NoTags
Splash (1984);Comedy|Fantasy|Romance;mermaid
Steamboat Willie (1928);Animation|Children|Comedy|Musical;NoTags
Tall Tale (1995);Adventure|Children|Fantasy|Western;NoTags
Tex (1982);Drama;NoTags
Tron (1982);Action|Adventure|Sci-Fi;NoTags
Swing Kids (1993);Drama|War;NoTags
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998);Horror|Thriller;NoTags
L.A. Story (1991);Comedy|Romance;weather forecaster
Jerk, The (1979);Comedy;NoTags
Dead Men Don't Wear Plaid (1982);Comedy|Crime|Thriller;NoTags
Man with Two Brains, The (1983);Comedy;NoTags
Grand Canyon (1991);Crime|Drama;NoTags
Outsiders, The (1983);Drama;S.E. Hinton
Indiana Jones and the Temple of Doom (1984);Action|Adventure|Fantasy;archaeology
Lord of the Rings, The (1978);Adventure|Animation|Children|Fantasy;Tolkein|classic
1984 (Nineteen Eighty-Four) (1984);Drama|Sci-Fi;NoTags
Dead Zone, The (1983);Thriller;Stephen King
Maximum Overdrive (1986);Horror;NoTags
Needful Things (1993);Drama|Horror;NoTags
Cujo (1983);Horror|Thriller;Stephen King
Children of the Corn (1984);Horror|Thriller;Stephen King
All Dogs Go to Heaven (1989);Animation|Children|Comedy|Drama|Fantasy;NoTags
Addams Family, The (1991);Children|Comedy|Fantasy;black comedy|Christina Ricci|Christopher Lloyd|Family|gothic|quirky
Ever After: A Cinderella Story (1998);Comedy|Drama|Romance;NoTags
Snake Eyes (1998);Action|Crime|Mystery|Thriller;NoTags
Atlantic City (1980);Crime|Drama|Romance;NoTags
Autumn Sonata (Höstsonaten) (1978);Drama;NoTags
Who's Afraid of Virginia Woolf? (1966);Drama;NoTags
Adventures in Babysitting (1987);Adventure|Comedy;NoTags
Weird Science (1985);Comedy|Fantasy|Sci-Fi;NoTags
Doctor Dolittle (1967);Adventure|Children|Musical;NoTags
Nutty Professor, The (1963);Comedy|Sci-Fi;NoTags
Charlotte's Web (1973);Animation|Children;NoTags
Watership Down (1978);Adventure|Animation|Children|Drama|Fantasy;atmospheric|beautiful
Secret of NIMH, The (1982);Adventure|Animation|Children|Drama;mice
Dark Crystal, The (1982);Adventure|Fantasy;NoTags
American Tail, An (1986);Adventure|Animation|Children|Comedy;NoTags
American Tail: Fievel Goes West, An (1991);Adventure|Animation|Children|Musical|Western;NoTags
Legend (1985);Adventure|Fantasy|Romance;NoTags
Sixteen Candles (1984);Comedy|Romance;NoTags
Pretty in Pink (1986);Comedy|Drama|Romance;1980s|high school
St. Elmo's Fire (1985);Drama|Romance;post-college
Clan of the Cave Bear, The (1986);Adventure|Drama|Fantasy;NoTags
House (1986);Comedy|Fantasy|Horror;NoTags
House II: The Second Story (1987);Comedy|Fantasy|Horror;NoTags
Gods Must Be Crazy, The (1980);Adventure|Comedy;NoTags
Gods Must Be Crazy II, The (1989);Comedy;NoTags
Air Bud: Golden Receiver (1998);Children|Comedy;NoTags
Avengers, The (1998);Action|Adventure;NoTags
How Stella Got Her Groove Back (1998);Drama|Romance;NoTags
Slums of Beverly Hills, The (1998);Comedy|Drama;NoTags
Best Man, The (Testimone dello sposo, Il) (1998);Comedy|Drama|Romance;NoTags
Henry: Portrait of a Serial Killer (1986);Crime|Horror|Thriller;NoTags
Rosemary's Baby (1968);Drama|Horror|Thriller;Atmospheric|creepy|paranoia|scary|suspense|demons
NeverEnding Story, The (1984);Adventure|Children|Fantasy;NoTags
NeverEnding Story II: The Next Chapter, The (1990);Adventure|Children|Fantasy;NoTags
Attack of the Killer Tomatoes! (1978);Comedy|Horror;NoTags
Surf Nazis Must Die (1987);Action|Comedy|Drama|Horror;NoTags
Your Friends and Neighbors (1998);Comedy|Drama;NoTags
Return to Paradise (1998);Crime|Drama|Romance|Thriller;NoTags
Blade (1998);Action|Horror|Thriller;vampires
Dead Man on Campus (1998);Comedy;NoTags
Wrongfully Accused (1998);Action|Comedy;NoTags
Next Stop Wonderland (1998);Comedy|Drama|Romance;aquarium|Boston|personals ads
Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998);Comedy|Drama;NoTags
Beetlejuice (1988);Comedy|Fantasy;NoTags
Déjà Vu (1997);Drama|Romance;NoTags
Rope (1948);Crime|Drama|Thriller;NoTags
Family Plot (1976);Comedy|Thriller;NoTags
Frenzy (1972);Thriller;NoTags
Topaz (1969);Thriller;NoTags
Torn Curtain (1966);Thriller;NoTags
Marnie (1964);Drama|Mystery|Romance|Thriller;NoTags
Wrong Man, The (1956);Drama|Film-Noir|Thriller;NoTags
Man Who Knew Too Much, The (1956);Adventure|Drama|Mystery|Thriller;NoTags
Trouble with Harry, The (1955);Comedy|Mystery;NoTags
I Confess (1953);Thriller;NoTags
Strangers on a Train (1951);Crime|Drama|Film-Noir|Thriller;murder
Stage Fright (1950);Mystery|Romance|Thriller;theater
54 (1998);Drama;NoTags
Why Do Fools Fall In Love? (1998);Drama;NoTags
Willow (1988);Action|Adventure|Fantasy;NoTags
Untouchables, The (1987);Action|Crime|Drama;Capone|gangsters
Dirty Work (1998);Comedy;NoTags
Knock Off (1998);Action;NoTags
Paradine Case, The (1947);Drama;NoTags
Lifeboat (1944);Drama|War;survival
Shadow of a Doubt (1943);Crime|Drama|Thriller;small towns
Saboteur (1942);Mystery|Thriller;NoTags
Mr. & Mrs. Smith (1941);Comedy|Romance;NoTags
Suspicion (1941);Film-Noir|Mystery|Thriller;paranoia
Jamaica Inn (1939);Drama;NoTags
Lady Vanishes, The (1938);Drama|Mystery|Thriller;train
Sabotage (1936);Thriller;NoTags
Secret Agent (1936);Thriller;NoTags
Man Who Knew Too Much, The (1934);Drama|Thriller;NoTags
Ring, The (1927);Drama;NoTags
Lodger: A Story of the London Fog, The (1927);Crime|Drama|Thriller;NoTags
Rounders (1998);Drama;NoTags
Cube (1997);Horror|Mystery|Sci-Fi|Thriller;NoTags
Simon Birch (1998);Drama;NoTags
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);Comedy|Drama;NoTags
My Bodyguard (1980);Drama;NoTags
Class (1983);Comedy;NoTags
Broadcast News (1987);Comedy|Drama|Romance;journalism
Allnighter, The (1987);Comedy|Romance;NoTags
Working Girl (1988);Comedy|Drama|Romance;NoTags
Married to the Mob (1988);Comedy;Mafia
Say Anything... (1989);Comedy|Drama|Romance;In Your Eyes|Lloyd Dobbler
My Blue Heaven (1990);Comedy;Mafia
Hero (1992);Comedy|Drama;NoTags
Toys (1992);Comedy|Fantasy;NoTags
Young Doctors in Love (1982);Comedy;NoTags
Parasite (1982);Horror|Sci-Fi;NoTags
No Small Affair (1984);Comedy|Romance;NoTags
Blame It on Rio (1984);Comedy|Romance;NoTags
Wisdom (1986);Crime|Drama;NoTags
One Crazy Summer (1986);Comedy;NoTags
About Last Night... (1986);Comedy|Drama|Romance;NoTags
Seventh Sign, The (1988);Drama|Fantasy|Thriller;NoTags
We're No Angels (1989);Comedy|Crime;NoTags
Nothing But Trouble (1991);Adventure|Comedy;NoTags
Butcher's Wife, The (1991);Comedy|Romance;NoTags
Mortal Thoughts (1991);Mystery|Thriller;NoTags
Few Good Men, A (1992);Crime|Drama|Thriller;court|military
